Transaction ID,Date,Customer ID,Quantity,Price per Unit,Total Amount,Retail Category,Product Name
1,2023-11-24,CUST001,3,36,108,Mi Instan,Indomie Goreng
2,2023-02-27,CUST002,2,38,76,Mi Instan,Mie Sedaap Soto
3,2023-01-13,CUST003,1,45,45,Snack,Taro
4,2023-05-21,CUST004,1,45,45,Snack,Taro
5,2023-05-06,CUST005,2,35,70,Sabun,Lifebuoy
6,2023-04-25,CUST006,1,35,35,Sabun,Lifebuoy
7,2023-03-13,CUST007,2,34,68,Mi Instan,Sarimi Ayam
8,2023-02-22,CUST008,4,32,128,Sabun,Lux
9,2023-12-13,CUST009,2,34,68,Mi Instan,Sarimi Ayam
10,2023-10-07,CUST010,4,58,232,Susu,Bear Brand
11,2023-02-14,CUST011,2,50,100,Snack,Qtela
12,2023-10-30,CUST012,3,38,114,Mi Instan,Mie Sedaap Soto
13,2023-08-05,CUST013,3,34,102,Mi Instan,Sarimi Ayam
14,2023-01-17,CUST014,4,60,240,Susu,Dancow
15,2023-01-16,CUST015,4,58,232,Susu,Bear Brand
16,2023-02-17,CUST016,3,45,135,Snack,Taro
17,2023-04-22,CUST017,4,40,160,Kopi,Good Day
18,2023-04-30,CUST018,2,52,104,Susu,Ultra Milk
19,2023-09-16,CUST019,2,34,68,Mi Instan,Sarimi Ayam
20,2023-11-05,CUST020,3,36,108,Mi Instan,Indomie Goreng
21,2023-01-14,CUST021,1,48,48,Minuman,Pocari Sweat
22,2023-10-15,CUST022,2,60,120,Susu,Dancow
23,2023-04-12,CUST023,4,52,208,Susu,Ultra Milk
24,2023-11-29,CUST024,1,45,45,Snack,Taro
25,2023-12-26,CUST025,1,32,32,Sabun,Lux
26,2023-10-07,CUST026,2,48,96,Minuman,Pocari Sweat
27,2023-08-03,CUST027,2,55,110,Snack,Chitato
28,2023-04-23,CUST028,1,50,50,Snack,Qtela
29,2023-08-18,CUST029,1,60,60,Susu,Dancow
30,2023-10-29,CUST030,3,42,126,Kopi,Kapal Api
31,2023-05-23,CUST031,4,55,220,Snack,Chitato
32,2023-01-04,CUST032,3,52,156,Susu,Ultra Milk
33,2023-03-23,CUST033,2,48,96,Minuman,Pocari Sweat
34,2023-12-24,CUST034,3,55,165,Snack,Chitato
35,2023-08-05,CUST035,3,58,174,Susu,Bear Brand
36,2023-06-24,CUST036,3,45,135,Snack,Taro
37,2023-05-23,CUST037,3,45,135,Snack,Taro
38,2023-03-21,CUST038,4,38,152,Mi Instan,Mie Sedaap Soto
39,2023-04-21,CUST039,4,35,140,Sabun,Lifebuoy
40,2023-06-22,CUST040,1,38,38,Kopi,ABC Coffee
41,2023-02-22,CUST041,2,42,84,Kopi,Kapal Api
42,2023-02-17,CUST042,3,40,120,Kopi,Good Day
43,2023-07-14,CUST043,1,38,38,Kopi,ABC Coffee
44,2023-02-19,CUST044,1,35,35,Sabun,Lifebuoy
45,2023-07-03,CUST045,1,40,40,Kopi,Good Day
46,2023-06-26,CUST046,4,38,152,Kopi,ABC Coffee
47,2023-11-06,CUST047,3,58,174,Susu,Bear Brand
48,2023-05-16,CUST048,3,42,126,Kopi,Kapal Api
49,2023-01-23,CUST049,2,60,120,Susu,Dancow
50,2023-08-24,CUST050,3,55,165,Snack,Chitato
51,2023-10-02,CUST051,3,40,120,Kopi,Good Day
52,2023-03-05,CUST052,1,50,50,Snack,Qtela
53,2023-07-13,CUST053,2,58,116,Susu,Bear Brand
54,2023-02-10,CUST054,3,50,150,Snack,Qtela
55,2023-10-10,CUST055,4,34,136,Mi Instan,Sarimi Ayam
56,2023-05-31,CUST056,3,45,135,Snack,Taro
57,2023-11-18,CUST057,1,34,34,Mi Instan,Sarimi Ayam
58,2023-11-13,CUST058,4,45,180,Snack,Taro
59,2023-07-05,CUST059,1,48,48,Minuman,Pocari Sweat
60,2023-10-23,CUST060,3,32,96,Sabun,Lux
61,2023-04-09,CUST061,4,32,128,Sabun,Lux
62,2023-12-27,CUST062,2,36,72,Mi Instan,Indomie Goreng
63,2023-02-05,CUST063,2,45,90,Snack,Taro
64,2023-01-24,CUST064,4,52,208,Susu,Ultra Milk
65,2023-12-05,CUST065,4,45,180,Snack,Taro
66,2023-04-27,CUST066,1,36,36,Mi Instan,Indomie Goreng
67,2023-05-29,CUST067,4,60,240,Susu,Dancow
68,2023-02-10,CUST068,1,40,40,Sabun,Dettol
69,2023-04-30,CUST069,3,40,120,Sabun,Dettol
70,2023-02-21,CUST070,1,45,45,Snack,Taro
71,2023-07-14,CUST071,4,40,160,Kopi,Good Day
72,2023-05-23,CUST072,4,40,160,Kopi,Good Day
73,2023-08-21,CUST073,3,36,108,Mi Instan,Indomie Goreng
74,2023-11-22,CUST074,4,58,232,Susu,Bear Brand
75,2023-07-06,CUST075,4,30,120,Minuman,Teh Botol
76,2023-03-25,CUST076,2,58,116,Susu,Bear Brand
77,2023-07-09,CUST077,2,38,76,Mi Instan,Mie Sedaap Soto
78,2023-07-01,CUST078,3,42,126,Kopi,Kapal Api
79,2023-04-18,CUST079,1,35,35,Sabun,Lifebuoy
80,2023-12-10,CUST080,2,60,120,Susu,Dancow
81,2023-05-17,CUST081,1,30,30,Minuman,Teh Botol
82,2023-12-26,CUST082,4,40,160,Kopi,Good Day
83,2023-12-16,CUST083,2,38,76,Mi Instan,Mie Sedaap Soto
84,2023-11-28,CUST084,3,55,165,Snack,Chitato
85,2023-02-06,CUST085,3,40,120,Kopi,Good Day
86,2023-11-08,CUST086,3,35,105,Sabun,Lifebuoy
87,2023-11-22,CUST087,2,30,60,Minuman,Teh Botol
88,2023-03-29,CUST088,1,34,34,Mi Instan,Sarimi Ayam
89,2023-10-01,CUST089,4,32,128,Sabun,Lux
90,2023-05-06,CUST090,1,40,40,Sabun,Dettol
91,2023-03-25,CUST091,1,50,50,Snack,Qtela
92,2023-08-25,CUST092,4,40,160,Sabun,Dettol
93,2023-07-14,CUST093,4,48,192,Minuman,Pocari Sweat
94,2023-05-19,CUST094,2,52,104,Susu,Ultra Milk
95,2023-11-24,CUST095,2,50,100,Snack,Qtela
96,2023-12-19,CUST096,2,52,104,Susu,Ultra Milk
97,2023-10-13,CUST097,2,52,104,Susu,Ultra Milk
98,2023-04-23,CUST098,2,48,96,Minuman,Pocari Sweat
99,2023-12-17,CUST099,4,38,152,Kopi,ABC Coffee
100,2023-06-16,CUST100,1,24,24,Minuman,Aqua 600ml
101,2023-01-29,CUST101,2,58,116,Susu,Bear Brand
102,2023-04-28,CUST102,2,35,70,Sabun,Lifebuoy
103,2023-01-17,CUST103,1,35,35,Sabun,Lifebuoy
104,2023-06-11,CUST104,2,60,120,Susu,Dancow
105,2023-07-25,CUST105,1,24,24,Minuman,Aqua 600ml
106,2023-05-18,CUST106,1,38,38,Kopi,ABC Coffee
107,2023-02-03,CUST107,4,38,152,Kopi,ABC Coffee
108,2023-04-19,CUST108,3,40,120,Sabun,Dettol
109,2023-10-18,CUST109,4,50,200,Snack,Qtela
110,2023-06-11,CUST110,3,38,114,Mi Instan,Mie Sedaap Soto
111,2023-04-19,CUST111,3,60,180,Susu,Dancow
112,2023-12-02,CUST112,3,35,105,Sabun,Lifebuoy
113,2023-09-13,CUST113,2,34,68,Mi Instan,Sarimi Ayam
114,2023-07-22,CUST114,4,30,120,Minuman,Teh Botol
115,2023-11-26,CUST115,3,40,120,Kopi,Good Day
116,2023-08-23,CUST116,1,58,58,Susu,Bear Brand
117,2023-03-15,CUST117,2,45,90,Snack,Taro
118,2023-05-16,CUST118,4,32,128,Sabun,Lux
119,2023-03-13,CUST119,3,24,72,Minuman,Aqua 600ml
120,2023-05-07,CUST120,1,38,38,Kopi,ABC Coffee
121,2023-10-15,CUST121,4,24,96,Minuman,Aqua 600ml
122,2023-10-03,CUST122,4,52,208,Susu,Ultra Milk
123,2023-05-15,CUST123,2,40,80,Sabun,Dettol
124,2023-10-27,CUST124,4,48,192,Minuman,Pocari Sweat
125,2023-08-08,CUST125,2,48,96,Minuman,Pocari Sweat
126,2023-10-26,CUST126,3,38,114,Mi Instan,Mie Sedaap Soto
127,2023-07-24,CUST127,2,38,76,Mi Instan,Mie Sedaap Soto
128,2023-07-05,CUST128,1,30,30,Minuman,Teh Botol
129,2023-04-23,CUST129,2,36,72,Mi Instan,Indomie Goreng
130,2023-03-12,CUST130,1,42,42,Kopi,Kapal Api
131,2023-09-18,CUST131,2,58,116,Susu,Bear Brand
132,2023-09-10,CUST132,4,52,208,Susu,Ultra Milk
133,2023-02-16,CUST133,3,38,114,Kopi,ABC Coffee
134,2023-01-25,CUST134,1,35,35,Sabun,Lifebuoy
135,2023-02-26,CUST135,2,55,110,Snack,Chitato
136,2023-03-20,CUST136,2,40,80,Kopi,Good Day
137,2023-11-18,CUST137,2,40,80,Sabun,Dettol
138,2023-03-23,CUST138,4,24,96,Minuman,Aqua 600ml
139,2023-12-15,CUST139,4,52,208,Susu,Ultra Milk
140,2023-08-05,CUST140,1,58,58,Susu,Bear Brand
141,2023-11-02,CUST141,1,58,58,Susu,Bear Brand
142,2023-02-02,CUST142,4,30,120,Minuman,Teh Botol
143,2023-07-17,CUST143,1,40,40,Kopi,Good Day
144,2023-07-15,CUST144,3,24,72,Minuman,Aqua 600ml
145,2023-11-02,CUST145,3,52,156,Susu,Ultra Milk
146,2023-08-28,CUST146,4,24,96,Minuman,Aqua 600ml
147,2023-09-28,CUST147,1,24,24,Minuman,Aqua 600ml
148,2023-05-09,CUST148,2,35,70,Sabun,Lifebuoy
149,2023-10-11,CUST149,3,58,174,Susu,Bear Brand
150,2023-01-06,CUST150,4,30,120,Minuman,Teh Botol
151,2023-12-15,CUST151,1,38,38,Kopi,ABC Coffee
152,2023-02-28,CUST152,4,38,152,Kopi,ABC Coffee
153,2023-12-16,CUST153,2,30,60,Minuman,Teh Botol
154,2023-10-02,CUST154,3,38,114,Kopi,ABC Coffee
155,2023-05-17,CUST155,4,58,232,Susu,Bear Brand
156,2023-11-25,CUST156,4,55,220,Snack,Chitato
157,2023-06-24,CUST157,4,34,136,Mi Instan,Sarimi Ayam
158,2023-02-27,CUST158,2,38,76,Kopi,ABC Coffee
159,2023-05-31,CUST159,4,30,120,Minuman,Teh Botol
160,2023-08-11,CUST160,2,40,80,Kopi,Good Day
161,2023-03-22,CUST161,2,24,48,Minuman,Aqua 600ml
162,2023-08-21,CUST162,2,40,80,Kopi,Good Day
163,2023-01-02,CUST163,3,50,150,Snack,Qtela
164,2023-05-15,CUST164,3,34,102,Mi Instan,Sarimi Ayam
165,2023-09-14,CUST165,4,60,240,Susu,Dancow
166,2023-04-02,CUST166,4,58,232,Susu,Bear Brand
167,2023-09-17,CUST167,3,52,156,Susu,Ultra Milk
168,2023-02-24,CUST168,1,45,45,Snack,Taro
169,2023-11-17,CUST169,3,42,126,Kopi,Kapal Api
170,2023-06-02,CUST170,2,36,72,Mi Instan,Indomie Goreng
171,2023-11-24,CUST171,3,34,102,Mi Instan,Sarimi Ayam
172,2023-09-17,CUST172,2,50,100,Snack,Qtela
173,2023-11-08,CUST173,4,24,96,Minuman,Aqua 600ml
174,2023-04-12,CUST174,1,40,40,Sabun,Dettol
175,2023-03-20,CUST175,4,55,220,Snack,Chitato
176,2023-07-11,CUST176,2,38,76,Kopi,ABC Coffee
177,2023-03-24,CUST177,2,42,84,Kopi,Kapal Api
178,2023-10-04,CUST178,2,38,76,Mi Instan,Mie Sedaap Soto
179,2023-09-29,CUST179,1,35,35,Sabun,Lifebuoy
180,2023-01-01,CUST180,3,40,120,Kopi,Good Day
181,2023-11-03,CUST181,4,40,160,Sabun,Dettol
182,2023-06-15,CUST182,4,50,200,Snack,Qtela
183,2023-09-08,CUST183,3,40,120,Kopi,Good Day
184,2023-01-10,CUST184,4,36,144,Mi Instan,Indomie Goreng
185,2023-02-27,CUST185,1,58,58,Susu,Bear Brand
186,2023-07-05,CUST186,4,50,200,Snack,Qtela
187,2023-06-07,CUST187,2,55,110,Snack,Chitato
188,2023-05-03,CUST188,3,38,114,Kopi,ABC Coffee
189,2023-01-30,CUST189,1,55,55,Snack,Chitato
190,2023-05-04,CUST190,3,38,114,Kopi,ABC Coffee
191,2023-10-18,CUST191,1,42,42,Kopi,Kapal Api
192,2023-02-10,CUST192,2,52,104,Susu,Ultra Milk
193,2023-02-13,CUST193,3,42,126,Kopi,Kapal Api
194,2023-09-06,CUST194,4,55,220,Snack,Chitato
195,2023-02-05,CUST195,1,45,45,Snack,Taro
196,2023-09-30,CUST196,3,38,114,Kopi,ABC Coffee
197,2023-03-06,CUST197,4,60,240,Susu,Dancow
198,2023-03-07,CUST198,3,35,105,Sabun,Lifebuoy
199,2023-12-04,CUST199,3,34,102,Mi Instan,Sarimi Ayam
200,2023-09-01,CUST200,3,35,105,Sabun,Lifebuoy
201,2023-10-09,CUST201,1,30,30,Minuman,Teh Botol
202,2023-03-26,CUST202,4,38,152,Mi Instan,Mie Sedaap Soto
203,2023-05-16,CUST203,2,38,76,Mi Instan,Mie Sedaap Soto
204,2023-09-28,CUST204,1,52,52,Susu,Ultra Milk
205,2023-11-07,CUST205,1,60,60,Susu,Dancow
206,2023-08-05,CUST206,1,60,60,Susu,Dancow
207,2023-04-19,CUST207,2,36,72,Mi Instan,Indomie Goreng
208,2023-10-04,CUST208,4,55,220,Snack,Chitato
209,2023-12-20,CUST209,4,40,160,Sabun,Dettol
210,2023-04-13,CUST210,4,40,160,Sabun,Dettol
211,2024-01-01,CUST211,3,40,120,Sabun,Dettol
212,2023-06-09,CUST212,3,42,126,Kopi,Kapal Api
213,2023-07-24,CUST213,3,42,126,Kopi,Kapal Api
214,2023-12-10,CUST214,2,50,100,Snack,Qtela
215,2023-11-29,CUST215,3,58,174,Susu,Bear Brand
216,2023-07-11,CUST216,2,36,72,Mi Instan,Indomie Goreng
217,2023-08-13,CUST217,4,40,160,Sabun,Dettol
218,2023-09-22,CUST218,3,45,135,Snack,Taro
219,2023-08-20,CUST219,3,34,102,Mi Instan,Sarimi Ayam
220,2023-03-03,CUST220,1,55,55,Snack,Chitato
221,2023-05-07,CUST221,2,38,76,Kopi,ABC Coffee
222,2023-04-26,CUST222,4,50,200,Snack,Qtela
223,2023-02-02,CUST223,1,60,60,Susu,Dancow
224,2023-06-23,CUST224,1,55,55,Snack,Chitato
225,2023-01-11,CUST225,4,52,208,Susu,Ultra Milk
226,2023-10-29,CUST226,1,24,24,Minuman,Aqua 600ml
227,2023-10-11,CUST227,2,40,80,Sabun,Dettol
228,2023-04-28,CUST228,2,24,48,Minuman,Aqua 600ml
229,2023-10-29,CUST229,3,34,102,Mi Instan,Sarimi Ayam
230,2023-04-23,CUST230,1,50,50,Snack,Qtela
231,2023-01-04,CUST231,3,60,180,Susu,Dancow
232,2023-02-06,CUST232,1,38,38,Kopi,ABC Coffee
233,2023-12-29,CUST233,2,58,116,Susu,Bear Brand
234,2023-11-20,CUST234,2,40,80,Sabun,Dettol
235,2023-01-31,CUST235,2,58,116,Susu,Bear Brand
236,2023-04-28,CUST236,1,58,58,Susu,Bear Brand
237,2023-02-04,CUST237,2,60,120,Susu,Dancow
238,2023-01-17,CUST238,1,40,40,Sabun,Dettol
239,2023-06-19,CUST239,3,58,174,Susu,Bear Brand
240,2023-02-06,CUST240,1,24,24,Minuman,Aqua 600ml
241,2023-09-21,CUST241,3,60,180,Susu,Dancow
242,2023-05-02,CUST242,1,35,35,Sabun,Lifebuoy
243,2023-05-23,CUST243,3,38,114,Mi Instan,Mie Sedaap Soto
244,2023-12-09,CUST244,2,45,90,Snack,Taro
245,2023-09-06,CUST245,3,58,174,Susu,Bear Brand
246,2023-04-20,CUST246,2,32,64,Sabun,Lux
247,2023-10-04,CUST247,2,36,72,Mi Instan,Indomie Goreng
248,2023-03-09,CUST248,3,35,105,Sabun,Lifebuoy
249,2023-10-20,CUST249,1,32,32,Sabun,Lux
250,2023-10-23,CUST250,1,30,30,Minuman,Teh Botol
251,2023-08-31,CUST251,4,55,220,Snack,Chitato
252,2023-05-05,CUST252,1,50,50,Snack,Qtela
253,2023-08-31,CUST253,4,38,152,Mi Instan,Mie Sedaap Soto
254,2023-07-28,CUST254,1,36,36,Mi Instan,Indomie Goreng
255,2023-04-08,CUST255,1,60,60,Susu,Dancow
256,2023-02-18,CUST256,2,24,48,Minuman,Aqua 600ml
257,2023-02-19,CUST257,4,38,152,Mi Instan,Mie Sedaap Soto
258,2023-12-04,CUST258,1,36,36,Mi Instan,Indomie Goreng
259,2023-08-09,CUST259,4,45,180,Snack,Taro
260,2023-07-01,CUST260,2,60,120,Susu,Dancow
261,2023-08-05,CUST261,2,50,100,Snack,Qtela
262,2023-07-30,CUST262,4,52,208,Susu,Ultra Milk
263,2023-08-28,CUST263,2,52,104,Susu,Ultra Milk
264,2023-01-28,CUST264,3,58,174,Susu,Bear Brand
265,2023-12-11,CUST265,3,32,96,Sabun,Lux
266,2023-12-01,CUST266,2,60,120,Susu,Dancow
267,2023-11-27,CUST267,3,24,72,Minuman,Aqua 600ml
268,2023-02-20,CUST268,1,55,55,Snack,Chitato
269,2023-02-01,CUST269,4,60,240,Susu,Dancow
270,2023-07-26,CUST270,1,34,34,Mi Instan,Sarimi Ayam
271,2023-06-23,CUST271,4,32,128,Sabun,Lux
272,2023-02-25,CUST272,2,48,96,Minuman,Pocari Sweat
273,2023-05-08,CUST273,1,48,48,Minuman,Pocari Sweat
274,2023-04-09,CUST274,2,36,72,Mi Instan,Indomie Goreng
275,2023-04-08,CUST275,2,52,104,Susu,Ultra Milk
276,2023-10-02,CUST276,4,34,136,Mi Instan,Sarimi Ayam
277,2023-08-18,CUST277,4,35,140,Sabun,Lifebuoy
278,2023-03-13,CUST278,4,24,96,Minuman,Aqua 600ml
279,2023-08-05,CUST279,1,52,52,Susu,Ultra Milk
280,2023-04-04,CUST280,3,38,114,Kopi,ABC Coffee
281,2023-05-23,CUST281,4,40,160,Kopi,Good Day
282,2023-08-25,CUST282,4,50,200,Snack,Qtela
283,2023-05-08,CUST283,1,32,32,Sabun,Lux
284,2023-02-08,CUST284,4,58,232,Susu,Bear Brand
285,2023-08-15,CUST285,1,50,50,Snack,Qtela
286,2023-10-09,CUST286,2,32,64,Sabun,Lux
287,2023-02-20,CUST287,4,35,140,Sabun,Lifebuoy
288,2023-01-26,CUST288,4,34,136,Mi Instan,Sarimi Ayam
289,2023-11-30,CUST289,2,36,72,Mi Instan,Indomie Goreng
290,2023-10-04,CUST290,2,40,80,Sabun,Dettol
291,2023-01-08,CUST291,2,60,120,Susu,Dancow
292,2023-02-17,CUST292,4,58,232,Susu,Bear Brand
293,2023-05-02,CUST293,3,60,180,Susu,Dancow
294,2023-03-27,CUST294,3,48,144,Minuman,Pocari Sweat
295,2023-07-28,CUST295,3,55,165,Snack,Chitato
296,2023-09-06,CUST296,4,38,152,Mi Instan,Mie Sedaap Soto
297,2023-09-04,CUST297,2,55,110,Snack,Chitato
298,2023-04-20,CUST298,4,58,232,Susu,Bear Brand
299,2023-07-25,CUST299,2,55,110,Snack,Chitato
300,2023-01-31,CUST300,4,38,152,Kopi,ABC Coffee
301,2023-03-26,CUST301,4,40,160,Sabun,Dettol
302,2023-07-14,CUST302,2,34,68,Mi Instan,Sarimi Ayam
303,2023-01-02,CUST303,3,52,156,Susu,Ultra Milk
304,2023-07-19,CUST304,2,48,96,Minuman,Pocari Sweat
305,2023-05-16,CUST305,1,38,38,Kopi,ABC Coffee
306,2023-08-21,CUST306,1,45,45,Snack,Taro
307,2023-05-27,CUST307,2,32,64,Sabun,Lux
308,2023-08-05,CUST308,4,38,152,Kopi,ABC Coffee
309,2023-12-23,CUST309,1,45,45,Snack,Taro
310,2023-10-12,CUST310,1,50,50,Snack,Qtela
311,2023-12-05,CUST311,4,30,120,Minuman,Teh Botol
312,2023-09-07,CUST312,4,38,152,Mi Instan,Mie Sedaap Soto
313,2023-03-21,CUST313,3,52,156,Susu,Ultra Milk
314,2023-04-08,CUST314,4,35,140,Sabun,Lifebuoy
315,2023-06-01,CUST315,2,24,48,Minuman,Aqua 600ml
316,2023-04-22,CUST316,2,35,70,Sabun,Lifebuoy
317,2023-01-30,CUST317,3,36,108,Mi Instan,Indomie Goreng
318,2023-10-24,CUST318,1,45,45,Snack,Taro
319,2023-10-05,CUST319,1,60,60,Susu,Dancow
320,2023-02-01,CUST320,4,35,140,Sabun,Lifebuoy
321,2023-06-10,CUST321,2,38,76,Kopi,ABC Coffee
322,2023-01-30,CUST322,1,35,35,Sabun,Lifebuoy
323,2023-01-26,CUST323,3,52,156,Susu,Ultra Milk
324,2023-10-27,CUST324,3,40,120,Kopi,Good Day
325,2023-09-02,CUST325,2,32,64,Sabun,Lux
326,2023-09-15,CUST326,3,45,135,Snack,Taro
327,2023-09-29,CUST327,3,34,102,Mi Instan,Sarimi Ayam
328,2023-03-22,CUST328,2,34,68,Mi Instan,Sarimi Ayam
329,2023-01-30,CUST329,4,38,152,Kopi,ABC Coffee
330,2023-09-18,CUST330,4,50,200,Snack,Qtela
331,2023-02-11,CUST331,3,24,72,Minuman,Aqua 600ml
332,2023-04-06,CUST332,4,55,220,Snack,Chitato
333,2023-02-05,CUST333,4,38,152,Mi Instan,Mie Sedaap Soto
334,2023-11-01,CUST334,3,50,150,Snack,Qtela
